3.242,0.042
3.347,0.04
3.451,0.039
3.555,0.042
3.659,0.038
3.764,0.001
3.869,-0.038
3.975,-0.031
4.08,-0.011
4.186,0.031
4.29,0.036
4.396,-0.007
4.5,-0.041
4.607,-0.046
4.712,-0.004
4.818,0.023
4.922,0.034
5.028,-0.016
5.133,-0.029
5.237,-0.034
5.343,0.009
5.448,0.029
5.553,0.034
5.657,-0.005
5.763,-0.044
5.869,-0.049
5.975,-0.006
6.08,0.039
6.185,0.029
6.289,-0.018
6.395,-0.036
6.501,-0.046
6.607,-0.009
6.712,0.034
6.816,0.02
6.922,-0.014
7.026,-0.036
7.133,-0.033
7.238,0.005
7.344,0.029
7.448,0.026
7.553,-0.015
7.658,-0.035
7.765,-0.027
7.87,-0.003
7.976,0.029
8.08,0.029
8.185,-0.003
8.29,-0.034
8.395,-0.048
8.502,-0.007
8.607,0.034
8.712,0.028
8.816,-0.005
8.922,-0.034
9.027,-0.033
9.134,0.003
9.238,0.03
9.343,0.027
9.448,-0.023
9.554,-0.036
9.659,-0.038
9.765,-0.009
9.87,0.033
9.974,0.025
10.08,-0.01
10.184,-0.038
10.291,-0.031
10.396,0.01
10.502,0.032
10.606,0.025
10.712,-0.02
10.817,-0.049
10.923,-0.029
11.028,0.009
11.134,0.031
11.238,0.015
11.343,-0.008
11.448,-0.029
11.555,-0.025
11.66,-0.003
11.764,0.019
11.87,0.02
11.974,-0.008
12.08,-0.028
12.186,-0.023
12.292,0.003
12.396,0.031
12.502,0.025
12.606,-0.009
12.712,-0.027
12.817,-0.03
12.924,0.006
13.028,0.025
13.134,0.015
13.238,-0.018
13.343,-0.037
13.45,-0.025
13.555,0.012
13.66,0.029
13.765,0.01
13.87,-0.024
13.975,-0.035
14.082,0.017
14.188,0.029
14.292,0.017
14.398,-0.018
14.503,-0.026
14.609,-0.014
14.714,0.013
14.819,0.011
14.924,0.003
15.029,-0.02
15.135,-0.026
15.24,-0.013
15.346,0.01
15.451,0.024
15.556,0.011
15.661,-0.012
15.873,-0.016
15.978,0.002
16.083,0.023
16.188,0.014
16.293,-0.017
